accession	domain	phylum	class	order	family	genus	species	ambiguous_bases	checkm2_completeness	checkm2_contamination	checkm2_model	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation_ncbi_taxa	gtdb_type_designation_ncbi_taxa_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
GB_GCA_964485715.1	Archaea	Asgardarchaeota	Heimdallarchaeia	Hodarchaeales	Hodarchaeaceae	Hodarchaeum	Hodarchaeum sp964485715	0	80.76	2.49	General	83.73	5.61	149	k__Archaea (UID2)	107	14.29	2021504	85.57221090809652	473	853556	36.17242456308824	2362337	GB_GCA_964485715.1	t	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Hodarchaeales;f__Hodarchaeaceae;g__Hodarchaeum;s__Hodarchaeum sp964485715	not type material	none	f	126	118	25557	25557	none	0	none	none	none	0	none	none	none	none	none	none	none	none	4988	5344	f	f	t	5819	6095	Scaffold	SRP239594_co1_179	na	PRJEB82487	SAMEA117125000	473	5819	none	2025-01-09	GCA_964485715.1	derived from metagenome	full	SRP239594_co1_179	none	none	0	none	uncultured archaeon	none	na	none	442	118	6095	4109	2857	2025-01-09	31	115547	none	SRP239594_co1_179	Centre for Microbiome Research	115547	d__Archaea;p__;c__;o__;f__;g__;s__	d__Archaea;x__environmental samples;s__uncultured archaeon	2650	2362337	none	none	na	2359687	0	CAZALJ000000000.1	2419	442	4875	1	none	none	none	none	none	none	487	CAZALJ010000189.1	463	545	1.59e-153	87.905	JQ989638.1.1405	Archaea;Asgardarchaeota;Lokiarchaeia;Odinarchaeales;Incertae Sedis;LCB-4;uncultured archaeon	2650	16	31	0
GB_GCA_016292335.1	Archaea	Asgardarchaeota	Sifarchaeia	Sifarchaeales	Sifarchaeaceae	Sifarchaeum	Sifarchaeum subterraneum	0	80.25	1.68	General	81.46	1.87	149	k__Archaea (UID2)	107	0.0	1593693	79.05031078113677	300	732533	36.33507915730223	2016049	GB_GCA_016292335.1	t	d__Archaea;p__Asgardarchaeota;c__Sifarchaeia;o__Sifarchaeales;f__Sifarchaeaceae;g__Sifarchaeum;s__Sifarchaeum subterraneum	not type material	none	f	79	79	38150	38150	36767	1	2396	JAECRX010000053.1	5286	1	117	JAECRX010000167.1	1468	1092	0	80.45	KX764886.1.3038	Archaea;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured archaeon	6720	6720	f	f	t	7961	7961	Contig	ASM1629233v1	na	PRJNA599172	SAMN16874502	300	7961	Pacific Ocean: off Costa Rica Margin	2020-12-22	GCA_016292335.1	derived from metagenome	full	CR_Bin_142	marine sediment	8.68 N 84.03 W	0	none	Candidatus Sifarchaeum subterraneum	none	na	none	none	none	none	none	none	2020-12-22	0	2792798	none	CR_Bin_142	University of Delaware	2792798	d__Archaea;p__Candidatus Sifarchaeota;c__Candidatus Sifarchaeia;o__Candidatus Sifarchaeales;f__Candidatus Sifarchaeaceae;g__Candidatus Sifarchaeum;s__Candidatus Sifarchaeum subterraneum	d__Archaea;x__Promethearchaeati;p__Candidatus Sifarchaeota;c__Candidatus Sifarchaeia;o__Candidatus Sifarchaeales;f__Candidatus Sifarchaeaceae;g__Candidatus Sifarchaeum;s__Candidatus Sifarchaeum subterraneum	0	2016049	none	none	assembly from type material	2016049	0	JAECRX000000000.1	2112	300	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	17	30	0
GB_GCA_016839275.1	Archaea	Asgardarchaeota	Thorarchaeia	Thorarchaeales	Thorarchaeaceae	SMTZ1-45	SMTZ1-45 sp016839275	0	83.87	3.6	General	91.59	0.93	149	k__Archaea (UID2)	107	0.0	2326302	90.24285599016844	239	1118215	43.378252355475006	2577824	GB_GCA_016839275.1	t	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__SMTZ1-45;s__SMTZ1-45 sp016839275	not type material	none	f	44	44	156199	156199	none	0	none	none	156199	1	113	JAEOUM010000117.1	none	none	none	none	none	none	10785	10785	f	f	t	15225	15225	Contig	ASM1683927v1	na	PRJNA680430	SAMN16492257	239	15225	China: Futian Nature Reserve of Shenzhen	2021-02-09	GCA_016839275.1	derived from metagenome	full	FT5_021	coastal marine sediment	22.530000 N 114.000000 E	0	none	Candidatus Thorarchaeota archaeon	none	na	none	none	none	none	none	none	2021-02-09	0	2053491	none	FT5_021	Shenzhen Univeristy	2053491	d__Archaea;p__Candidatus Thorarchaeota;c__;o__;f__;g__;s__	d__Archaea;x__Promethearchaeati;p__Candidatus Thorarchaeota;x__unclassified Candidatus Thorarchaeota;s__Candidatus Thorarchaeota archaeon	0	2577824	none	none	na	2577824	0	JAEOUM000000000.1	2676	239	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	16	42	0
GB_GCA_016840165.1	Archaea	Asgardarchaeota	Lokiarchaeia	Sigyniarchaeales	SOKP01	SOKP01	SOKP01 sp016840165	0	99.71	6.3	General	87.85	0.93	149	k__Archaea (UID2)	107	0.0	3223723	89.35393824458197	105	1140712	31.61782498150541	3607813	GB_GCA_016840165.1	t	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigyniarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp016840165	not type material	none	f	12	12	334565	334565	53751	1	1116	JAEOSU010000081.1	none	0	none	none	511	645	0	89.628	JYIM01000373.485.3826	Archaea;Asgardarchaeota;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis;Lokiarchaeum sp. GC14_75	34360	34360	f	f	t	80330	80330	Contig	ASM1684016v1	na	PRJNA680430	SAMN16492213	105	80330	China: Rongcheng Nation Swan Nature Reserve	2021-02-09	GCA_016840165.1	derived from metagenome	full	YT_039	coastal marine sediment	37.350000 N 122.580000 E	0	none	Promethearchaeota archaeon	none	na	none	none	none	none	none	none	2021-02-09	0	2053489	none	YT_039	Shenzhen Univeristy	2053489	d__Archaea;p__Promethearchaeota;c__;o__;f__;g__;s__	d__Archaea;x__Promethearchaeati;p__Promethearchaeota;x__unclassified Promethearchaeota;s__Promethearchaeota archaeon	0	3607813	none	none	na	3607813	0	JAEOSU000000000.1	3392	105	214035	1	none	none	none	none	none	none	545	JAEOSU010000080.1	544	928	0	97.426	GQ410837.1.927	Archaea;Thermoproteota;Bathyarchaeia;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured archaeon	0	18	34	0
GB_GCA_030603365.1	Archaea	Asgardarchaeota	Heimdallarchaeia	Heimdallarchaeales	Heimdallarchaeaceae	UBA460	UBA460 sp030603365	0	88.96	3.43	General	93.46	2.34	149	k__Archaea (UID2)	107	0.0	3316978	90.82445162696504	17	1214849	33.26461442752013	3652076	GB_GCA_030603365.1	t	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp030603365	not type material	none	f	4	4	701036	701036	90273	1	2009	JAUVXV010000016.1	none	0	none	none	2009	3260	0	95.968	MEHH01000225.593.3133	Archaea;Asgardarchaeota;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis;Candidatus Heimdallarchaeota archaeon AB_125	214828	214828	f	f	t	344975	344975	Contig	ASM3060336v1	na	PRJNA950938	SAMN34049238	17	344975	none	2023-08-03	GCA_030603365.1	derived from metagenome	full	CSMAG_1225	cold seep	none	0	none	Candidatus Heimdallarchaeota archaeon	none	na	none	none	none	none	none	none	2023-08-03	0	2026747	none	CSMAG_1225	Third Institute of Oceanography, Ministry of Natural Resources	2026747	d__Archaea;p__Candidatus Heimdallarchaeota;c__;o__;f__;g__;s__	d__Archaea;x__Promethearchaeati;p__Candidatus Heimdallarchaeota;x__unclassified Candidatus Heimdallarchaeota;s__Candidatus Heimdallarchaeota archaeon	0	3652076	none	none	na	3652076	0	JAUVXV000000000.1	3375	17	90273	1	none	none	none	none	none	none	1465	JAUVXV010000016.1	1410	2577	0	99.645	AB797486.1.1410	Archaea;Asgardarchaeota;Heimdallarchaeia;Incertae Sedis;Incertae Sedis;AB_125;uncultured archaeon	0	19	44	0
GB_GCA_022096875.1	Archaea	Asgardarchaeota	Heimdallarchaeia	Heimdallarchaeales	Heimdallarchaeaceae	UBA460	UBA460 sp023270155	0	81.84	2.21	General	85.51	0.0	149	k__Archaea (UID2)	107	0.0	2367689	91.865463050334	270	862389	33.46037626331604	2577344	GB_GCA_023270155.1	f	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp023270155	not type material	none	f	40	40	70439	70439	none	0	none	none	none	0	none	none	none	none	none	none	none	none	9545	9545	f	f	t	17300	17300	Contig	ASM2209687v1	na	PRJNA593668	SAMN15815165	270	17300	Pacific Ocean: South China Sea	2022-02-08	GCA_022096875.1	derived from metagenome	full	C1.bin.6	cold seep sediment	22.115309 N 119.285863 E	0	0	Candidatus Heimdallarchaeota archaeon	none	na	1	none	none	none	none	none	2022-02-08	0	2026747	0	C1.bin.6	Institute of Oceanology, Chinese Academy of Sciences	2026747	d__Archaea;p__Candidatus Heimdallarchaeota;c__;o__;f__;g__;s__	d__Archaea;x__Promethearchaeati;p__Candidatus Heimdallarchaeota;x__unclassified Candidatus Heimdallarchaeota;s__Candidatus Heimdallarchaeota archaeon	0	2577344	11	33	na	2577344	0	JADCTO000000000.1	2611	270	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	17	34	0
GB_GCA_964646355.1	Archaea	Asgardarchaeota	Lokiarchaeia	Helarchaeales	HEL-GB-B	HEL-GB-B	HEL-GB-B sp964646355	0	93.08	7.36	General	91.3	5.14	149	k__Archaea (UID2)	107	0.0	3303897	81.99596410430391	510	1174698	29.1797440017726	4029341	GB_GCA_964646355.1	t	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__HEL-GB-B;g__HEL-GB-B;s__HEL-GB-B sp964646355	not type material	none	f	117	105	45909	46487	none	0	none	none	none	0	none	none	none	none	none	none	none	none	7893	8855	f	f	t	10600	12004	Scaffold	binchicken_co19_528	na	PRJEB82487	SAMEA117364459	510	10600	none	2025-01-12	GCA_964646355.1	derived from metagenome	full	binchicken_co19_528	none	none	0	none	uncultured archaeon	none	na	none	455	105	12004	6713	4193	2025-01-12	55	115547	none	binchicken_co19_528	Centre for Microbiome Research	115547	d__Archaea;p__;c__;o__;f__;g__;s__	d__Archaea;x__environmental samples;s__uncultured archaeon	3610	4029341	none	none	na	4025731	0	CAZYEE000000000.1	3587	455	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	3610	19	43	0
GB_GCA_016839805.1	Archaea	Asgardarchaeota	Hermodarchaeia	Hermodarchaeales	Hermodarchaeaceae	Hermodarchaeum	Hermodarchaeum sp016839805	0	86.71	3.11	General	94.86	0.0	149	k__Archaea (UID2)	107	0.0	2050778	88.79918041304965	50	1012490	43.841060405567376	2309456	GB_GCA_016839805.1	t	d__Archaea;p__Asgardarchaeota;c__Hermodarchaeia;o__Hermodarchaeales;f__Hermodarchaeaceae;g__Hermodarchaeum;s__Hermodarchaeum sp016839805	not type material	none	f	9	9	270724	270724	none	0	none	none	270724	1	102	JAEOTO010000032.1	none	none	none	none	none	none	46189	46189	f	f	t	73274	73274	Contig	ASM1683980v1	na	PRJNA680430	SAMN16492233	50	73274	China: Rongcheng Nation Swan Nature Reserve	2021-02-09	GCA_016839805.1	derived from metagenome	full	YT2_032	coastal marine sediment	37.350000 N 122.580000 E	0	none	Candidatus Hermodarchaeota archaeon	none	na	none	none	none	none	none	none	2021-02-09	0	2799008	none	YT2_032	Shenzhen Univeristy	2799008	d__Archaea;p__Candidatus Hermodarchaeota;c__;o__;f__;g__;s__	d__Archaea;x__Promethearchaeati;p__Candidatus Hermodarchaeota;x__unclassified Candidatus Hermodarchaeota;s__Candidatus Hermodarchaeota archaeon	0	2309456	none	none	na	2309456	0	JAEOTO000000000.1	2315	50	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	18	40	0
GB_GCA_029856545.1	Archaea	Asgardarchaeota	Baldrarchaeia	Baldrarchaeales	Baldrarchaeaceae	Baldrarchaeum	Baldrarchaeum yapensis	0	91.83	2.4	General	89.25	3.74	149	k__Archaea (UID2)	107	0.0	2486590	86.25490358636053	318	1294766	44.91287928323434	2882839	GB_GCA_016840465.1	f	d__Archaea;p__Asgardarchaeota;c__Baldrarchaeia;o__Baldrarchaeales;f__Baldrarchaeaceae;g__Baldrarchaeum;s__Baldrarchaeum yapensis	not type material	none	f	62	62	86089	86089	10294	1	1742	JAHKLL010000074.1	none	0	none	none	1619	1443	0	83.014	CP009961.1508878.1511819	Archaea;Thermoproteota;Thermoproteia;Thermoproteales;Thermofilaceae;Thermofilum;Thermofilum uzonense	9065	9065	f	f	t	12227	12227	Contig	ASM2985654v1	na	PRJNA417281	SAMN18753873	318	12227	Mexico: Guaymas Basin; Gulf of California	2023-04-24	GCA_029856545.1	derived from metagenome	full	B40_G16	deep-sea hydrothermal vent sediments	29.52416667 N 113.57000000 W	0	none	Candidatus Baldrarchaeota archaeon	none	na	none	none	none	none	none	none	2023-04-24	0	2799005	none	B40_G16	Uppsala University	2799005	d__Archaea;p__Candidatus Baldrarchaeota;c__;o__;f__;g__;s__	d__Archaea;x__Promethearchaeati;p__Candidatus Baldrarchaeota;x__unclassified Candidatus Baldrarchaeota;s__Candidatus Baldrarchaeota archaeon	0	2882839	none	none	na	2882839	0	JAHKLL000000000.1	3364	318	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	18	46	0
GB_GCA_019894885.1	Archaea	Asgardarchaeota	Lokiarchaeia	Sigyniarchaeales	SOKP01	SOKP01	SOKP01 sp019894885	8	88.82	3.83	General	73.14	3.74	149	k__Archaea (UID2)	107	20.0	2811291	87.30747216838319	296	1027032	31.90511397878857	3219989	GB_GCA_019894885.1	t	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigyniarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp019894885	not type material	none	f	62	59	59554	60500	none	0	none	none	none	0	none	none	none	none	none	none	none	none	10875	11541	f	f	t	14852	15834	Scaffold	ASM1989488v1	na	PRJNA680161	SAMN18946026	296	14852	Russia: Cape Chukochii	2021-09-07	GCA_019894885.1	derived from metagenome	full	bin41	permafrost sediment	70.05 N 159.55 E	0	0	Promethearchaeota archaeon	none	na	2	279	59	15834	9145	5727	2021-09-07	17	2053489	1	bin41	Princeton University	2053489	d__Archaea;p__Promethearchaeota;c__;o__;f__;g__;s__	d__Archaea;x__Promethearchaeati;p__Promethearchaeota;x__unclassified Promethearchaeota;s__Promethearchaeota archaeon	961	3219989	11	32	na	3219028	0	JAGXNP000000000.1	3205	279	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	961	14	30	0
GB_GCA_018238805.1	Archaea	Asgardarchaeota	Heimdallarchaeia	Heimdallarchaeales	Heimdallarchaeaceae	UBA460	UBA460 sp018238545	0	82.47	5.47	General	88.79	5.14	149	k__Archaea (UID2)	107	14.29	2470522	90.57902229789656	541	929393	34.07519110151983	2727477	GB_GCA_018238545.1	f	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp018238545	not type material	none	f	140	140	35271	35271	20223	1	2542	JABCSQ010000491.1	none	0	none	none	2548	3779	0	93.524	MEHH01000225.593.3133	Archaea;Asgardarchaeota;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis;Candidatus Heimdallarchaeota archaeon AB_125	5041	5041	f	f	t	5939	5939	Contig	ASM1823880v1	na	PRJNA628571	SAMN14734436	541	5939	China: Haima cold seep	2021-05-03	GCA_018238805.1	derived from metagenome	full	HM4_26_B6	cold seep	none	0	none	Candidatus Heimdallarchaeota archaeon	none	na	none	none	none	none	none	none	2021-05-03	0	2026747	none	HM4_26_B6	Institute of Deep-sea Science and Engineering, Chinese Academy of Sciences	2026747	d__Archaea;p__Candidatus Heimdallarchaeota;c__;o__;f__;g__;s__	d__Archaea;x__Promethearchaeati;p__Candidatus Heimdallarchaeota;x__unclassified Candidatus Heimdallarchaeota;s__Candidatus Heimdallarchaeota archaeon	0	2727477	none	none	na	2727477	0	JABCSQ000000000.1	3011	541	20223	1	none	none	none	none	none	none	1508	JABCSQ010000491.1	1429	2566	0	99.09	JQ816545.1.1430	Archaea;Asgardarchaeota;Heimdallarchaeia;Incertae Sedis;Incertae Sedis;AB_125;uncultured archaeon	0	17	42	0
GB_GCA_964347045.1	Archaea	Asgardarchaeota	Hermodarchaeia	Hermodarchaeales	Hermodarchaeaceae	Hermodarchaeum	Hermodarchaeum sp964347045	0	88.92	3.8	General	93.93	2.34	149	k__Archaea (UID2)	107	25.0	2266506	87.92329338488072	111	1104762	42.8679023301493	2577822	GB_GCA_964347045.1	t	d__Archaea;p__Asgardarchaeota;c__Hermodarchaeia;o__Hermodarchaeales;f__Hermodarchaeaceae;g__Hermodarchaeum;s__Hermodarchaeum sp964347045	not type material	none	f	11	8	251255	251255	none	0	none	none	251255	1	110	CAYFXC010000001.1	none	none	none	none	none	none	23217	31058	f	f	t	53689	129115	Scaffold	ERP108616_co2_263	na	PRJEB82487	SAMEA117294037	111	53689	none	2025-01-10	GCA_964347045.1	derived from metagenome	full	ERP108616_co2_263	none	none	0	none	uncultured archaeon	none	na	none	83	8	129115	40087	17797	2025-01-10	28	115547	none	ERP108616_co2_263	Centre for Microbiome Research	115547	d__Archaea;p__;c__;o__;f__;g__;s__	d__Archaea;x__environmental samples;s__uncultured archaeon	691	2577822	none	none	na	2577131	0	CAYFXC000000000.1	2617	83	27663	1	none	none	none	none	none	none	531	CAYFXC010000026.1	351	549	1.34e-154	94.872	JQ989578.1.1448	Archaea;Asgardarchaeota;Lokiarchaeia;Odinarchaeales;Incertae Sedis;LCB-4;uncultured archaeon	691	19	44	0
GB_GCA_029856875.1	Archaea	Asgardarchaeota	Jordiarchaeia	Jordiarchaeales	Freyrarchaeaceae	Freyrarchaeum	Freyrarchaeum sp029258835	0	90.0	4.66	General	92.06	6.54	149	k__Archaea (UID2)	107	0.0	2214825	85.34171944592471	362	1276902	49.20163545378988	2595243	GB_GCA_029258835.1	f	d__Archaea;p__Asgardarchaeota;c__Jordiarchaeia;o__Jordiarchaeales;f__Freyrarchaeaceae;g__Freyrarchaeum;s__Freyrarchaeum sp029258835	not type material	none	f	83	83	59035	59035	none	0	none	none	none	0	none	none	none	none	none	none	none	none	7169	7169	f	f	t	9455	9455	Contig	ASM2985687v1	na	PRJNA417281	SAMN18753874	362	9455	Mexico: Guaymas Basin; Gulf of California	2023-04-24	GCA_029856875.1	derived from metagenome	full	B36_G16	deep-sea hydrothermal vent sediments	29.52416667 N 113.57000000 W	0	none	Candidatus Jordarchaeia archaeon	none	na	none	none	none	none	none	none	2023-04-24	0	3067279	none	B36_G16	Uppsala University	3067279	d__Archaea;p__;c__Candidatus Jordarchaeia;o__;f__;g__;s__	d__Archaea;x__Promethearchaeati;x__Promethearchaeati incertae sedis;c__Candidatus Jordarchaeia;x__unclassified Candidatus Jordarchaeia;s__Candidatus Jordarchaeia archaeon	0	2595243	none	none	na	2595243	0	JAHKKT000000000.1	3008	362	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	16	43	0
GB_GCA_016930515.1	Archaea	Asgardarchaeota	Lokiarchaeia	Sigyniarchaeales	SOKP01	FT1-020	FT1-020 sp016930515	0	94.07	5.3	General	85.98	2.34	149	k__Archaea (UID2)	107	0.0	3432247	85.80887797965636	190	1402379	35.06057940825136	3999874	GB_GCA_016930515.1	t	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigyniarchaeales;f__SOKP01;g__FT1-020;s__FT1-020 sp016930515	not type material	none	f	37	37	123631	123631	3768	2	1636	JAFGGO010000023.1	none	0	none	none	927	839	0	83.603	LWDU01023116.107.3083	Archaea;Aenigmarchaeota;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis;hydrothermal vent metagenome	21051	21051	f	f	t	33582	33582	Contig	ASM1693051v1	na	PRJNA690107	SAMN17241912	190	33582	USA: Anadarko; OK; Zodletone Spring	2021-02-24	GCA_016930515.1	derived from metagenome	full	Zod_Metabat.1389	Freshwater Sediment	34.99562 N 98.68895 W	0	0	Promethearchaeota archaeon	none	na	2	none	none	none	none	none	2021-02-24	0	2053489	0	Zod_Metabat.1389	Oklahoma State University	2053489	d__Archaea;p__Promethearchaeota;c__;o__;f__;g__;s__	d__Archaea;x__Promethearchaeati;p__Promethearchaeota;x__unclassified Promethearchaeota;s__Promethearchaeota archaeon	0	3999874	11	33	na	3999874	0	JAFGGO000000000.1	3789	190	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	14	31	0
GB_GCA_030602275.1	Archaea	Asgardarchaeota	Lokiarchaeia	Sigyniarchaeales	SOKP01	SOKP01	SOKP01 sp005222975	0	96.23	8.04	General	84.74	3.74	149	k__Archaea (UID2)	107	20.0	3311676	86.78123329455049	249	1183128	31.003427565170902	3816120	GB_GCA_005222975.1	f	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigyniarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp005222975	not type material	none	f	55	55	110956	110956	46373	1	3025	JAUWAA010000010.1	none	0	none	none	3058	3930	0	90.124	JYIM01000373.485.3826	Archaea;Asgardarchaeota;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis;Lokiarchaeum sp. GC14_75	15325	15325	f	f	t	20243	20243	Contig	ASM3060227v1	na	PRJNA950938	SAMN34049295	249	20243	none	2023-08-03	GCA_030602275.1	derived from metagenome	full	CSMAG_1282	cold seep	none	0	none	Promethearchaeota archaeon	none	na	none	none	none	none	none	none	2023-08-03	0	2053489	none	CSMAG_1282	Third Institute of Oceanography, Ministry of Natural Resources	2053489	d__Archaea;p__Promethearchaeota;c__;o__;f__;g__;s__	d__Archaea;x__Promethearchaeati;p__Promethearchaeota;x__unclassified Promethearchaeota;s__Promethearchaeota archaeon	0	3816120	none	none	na	3816120	0	JAUWAA000000000.1	3824	249	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	16	31	0
GB_GCA_018238095.1	Archaea	Asgardarchaeota	Heimdallarchaeia	Heimdallarchaeales	Heimdallarchaeaceae	UBA460	UBA460 sp018238545	0	83.24	5.44	General	85.98	6.46	149	k__Archaea (UID2)	107	18.18	2197060	91.02818855122878	420	824239	34.14971967232404	2413604	GB_GCA_018238545.1	f	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp018238545	not type material	none	f	104	104	37910	37910	17144	1	2542	JABCTW010000016.1	none	0	none	none	2548	3784	0	93.564	MEHH01000225.593.3133	Archaea;Asgardarchaeota;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis;Candidatus Heimdallarchaeota archaeon AB_125	5746	5746	f	f	t	6883	6883	Contig	ASM1823809v1	na	PRJNA628571	SAMN14734431	420	6883	China: Haima cold seep	2021-05-03	GCA_018238095.1	derived from metagenome	full	HM6_B48	cold seep	none	0	none	Candidatus Heimdallarchaeota archaeon	none	na	none	none	none	none	none	none	2021-05-03	0	2026747	none	HM6_B48	Institute of Deep-sea Science and Engineering, Chinese Academy of Sciences	2026747	d__Archaea;p__Candidatus Heimdallarchaeota;c__;o__;f__;g__;s__	d__Archaea;x__Promethearchaeati;p__Candidatus Heimdallarchaeota;x__unclassified Candidatus Heimdallarchaeota;s__Candidatus Heimdallarchaeota archaeon	0	2413604	none	none	na	2413604	0	JABCTW000000000.1	2638	420	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	19	44	0
GB_GCA_048885325.1	Archaea	Asgardarchaeota	Lokiarchaeia	Sigyniarchaeales	SOKP01	SOKP01	SOKP01 sp048885325	0	99.61	3.92	General	89.72	0.93	149	k__Archaea (UID2)	107	100.0	2925722	88.02928650989988	344	983748	29.61323159505693	3323578	GB_GCA_048885325.1	t	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigyniarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp048885325	not type material	none	f	75	69	75834	75834	none	0	none	none	none	0	none	none	none	none	none	none	none	none	9656	10386	f	f	t	12687	13621	Scaffold	ASM4888532v1	na	PRJNA1162170	SAMN43852933	344	12687	none	2025-03-24	GCA_048885325.1	derived from metagenome	full	H3B.4	none	none	0	0	Candidatus Odinarchaeota archaeon	none	na	1	320	69	13621	8035	4744	2025-03-24	24	2053490	1	H3B.4	East china normal University	2053490	d__Archaea;p__Candidatus Odinarchaeota;c__;o__;f__;g__;s__	d__Archaea;x__Promethearchaeati;p__Candidatus Odinarchaeota;x__unclassified Candidatus Odinarchaeota;s__Candidatus Odinarchaeota archaeon	1590	3323578	11	36	na	3321988	0	JBHLPZ000000000.1	3362	320	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	1590	17	36	1
